"Sifra";"Naziv";"Nositelj";"Vrsta ustanove nositelja";"Izvodjac";"Mjesto Izvodjenja";"Tip SP";"Vrsta SP";"Trajanje";"ECTS";"PPG";"Akademski stupanj"
1;"Klasična harmonika";"Sveučilište Jurja Dobrile u Puli";"Javno";"Sveučilište Jurja Dobrile u Puli";"PULA";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea)muzike"
2;"Kiparstvo";"Sveučilište u Splitu";"Javno";"Umjetnička akademija, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) kiparstva "
3;"Elektrotehnika";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike"
3;"Elektrotehnika";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike"
4;"Elektrotehnika i informacijska tehnologija";"Sveučilište u Splitu";"Javno";"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike i informacijske tehnologije"
5;"Strojarstvo";"Sveučilište u Splitu";"Javno";"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.11.  TEHNIČKE ZNANOSTI / Strojarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva"
6;"Tehnologija i organizacija prometa";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka prometa"
10;"Logopedija";"Sveučilište u Zagrebu";"Javno";"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.09.  DRUŠTVENE ZNANOSTI / Logopedija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) logopedije"
11;"Socijalna pedagogija";"Sveučilište u Zagrebu";"Javno";"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) socijalne pedagogije"
12;"Rehabilitacija";"Sveučilište u Zagrebu";"Javno";"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti";"sveučilišni/a prvopristupnik/ prvostupnica (baccalaureus/ baccalaurea) edukacijske rehabilitacije"
13;"Kineziologija";"Sveučilište u Splitu";"Javno";"Kineziološki fakultet, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.10.  DRUŠTVENE ZNANOSTI / Kineziologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kineziologije"
16;"Elektroničke i informatičke tehnologije u pomorstvu";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektroničke i informatičke tehnologije"
17;"Primijenjena umjetnost";"Sveučilište u Rijeci";"Javno";"Akademija primijenjenih umjetnosti, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea)primijenjene umjetnosti"
18;"Poduzetništvo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Ekonomski fakultet, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.01.  DRUŠTVENE ZNANOSTI / Ekonomija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) ekonomije"
19;"Film i video";"Sveučilište u Splitu";"Javno";"Umjetnička akademija, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"7.02.  UMJETNIČKO PODRUČJE / Filmska umjetnost (filmske, elektroničke i medijske umjetnosti pokretnih slika)";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) filma i videa "
22;"Španjolski jezik i književnost ( dvopredmetni )";"Sveučilište u Zadru";"Javno";"Sveučilište u Zadru";"ZADAR";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"6.03.  HUMANISTIČKE ZNANOSTI / Filologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) španjolskog jezika i književnosti "
23;"Mađarski jezik i književnosti(dvopredmetni) ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Filozofski fakultet, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"6.03.  HUMANISTIČKE ZNANOSTI / Filologija";"sveučilišni/a  prvostupnik/prvostupnica (baccalaureus/baccalaurea)  mađarskoga jezika i književnosti "
24;"Pjevanje";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Umjetnička akademija, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) muzike"
25;"Klavir";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Umjetnička akademija, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) muzike"
27;"Gluma i lutkarstvo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Umjetnička akademija, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"7.01.  UMJETNIČKO PODRUČJE / Kazališna umjetnost (scenske i medijske umjetnosti)";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea)kazališne režije i radiofonije"
28;"Kemija";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Sveučilište u Osijeku - Odjel za kemiju";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"1.04.  PRIRODNE ZNANOSTI / Kemija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kemije"
29;"Konzervacija - restauracija; smjerovi: Drvo, Papir, Tekstil, Metal, Keramika";"Sveučilište u Dubrovniku";"Javno";"Sveučilište u Dubrovniku";"DUBROVNIK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) restauracije i konzervacije"
31;"Matematika";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"1.01.  PRIRODNE ZNANOSTI / Matematika";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) matematike"
32;"Brodogradnja";"Sveučilište u Splitu";"Javno";"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.02.  TEHNIČKE ZNANOSTI / Brodogradnja";"sveučilišni prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka brodogradnje"
33;"Ekonomika poduzetništva";"Sveučilište u Zagrebu";"Javno";"Fakultet organizacije i informatike, Varaždin";"VARAŽDIN";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"5.01.  DRUŠTVENE ZNANOSTI / Ekonomija";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) ekonomije"
34;"Glazbena pedagogija";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Umjetnička akademija, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) glazbene pedagogije"
36;"Talijanski jezik i književnost (dvopredmetni)";"Sveučilište u Splitu";"Javno";"Filozofski fakultet u Splitu";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"6.03.  HUMANISTIČKE ZNANOSTI / Filologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) talijanskog jezika i književnosti"
37;"Hrvatski jezik i književnost (dvopredmetni)";"Sveučilište u Splitu";"Javno";"Filozofski fakultet u Splitu";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"6.03.  HUMANISTIČKE ZNANOSTI / Filologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  hrvatskog jezika i književnosti"
38;"Filozofija (dvopredmetni)";"Sveučilište u Splitu";"Javno";"Filozofski fakultet u Splitu";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"6.01.  HUMANISTIČKE ZNANOSTI / Filozofija";"sveučililišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  filozofije"
39;"Engleski jezik i književnost (dvopredmetni)";"Sveučilište u Splitu";"Javno";"Filozofski fakultet u Splitu";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"6.03.  HUMANISTIČKE ZNANOSTI / Filologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  engleskoga jezika i književnosti"
40;"Pedagogija (dvopredmetni)";"Sveučilište u Splitu";"Javno";"Filozofski fakultet u Splitu";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"5.07.  DRUŠTVENE ZNANOSTI / Pedagogija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) pedagogije"
41;"Kultura i turizam";"Sveučilište Jurja Dobrile u Puli";"Javno";"Sveučilište Jurja Dobrile u Puli";"PULA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea)  kulture i turizma "
44;"Nederlandistika (dvopredmetni)";"Sveučilište u Zagrebu";"Javno";"Filozofski fakultet, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;90;"6.03.  HUMANISTIČKE ZNANOSTI / Filologija";"sveučilišni/a prvostupnik/ica nederlandistike"
46;"Arhitektura i urbanizam";"Sveučilište u Zagrebu";"Javno";"Arhitektonski fakultet, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.01.  TEHNIČKE ZNANOSTI / Arhitektura i urbanizam";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka arhitekture i urbanizma"
47;"Arhitektura i urbanizam ";"Sveučilište u Splitu";"Javno";"Fakultet građevinarstva, arhitekture i geodezije, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.01.  TEHNIČKE ZNANOSTI / Arhitektura i urbanizam";
48;"Brodogradnja";"Sveučilište u Zagrebu";"Javno";"Fakultet strojarstva i brodogradnje, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3.5;210;"2.02.  TEHNIČKE ZNANOSTI / Brodogradnja";"sveučilišni prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka brodogradnje"
50;"Brodogradnja";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.02.  TEHNIČKE ZNANOSTI / Brodogradnja";"sveučilišni prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka brodogradnje"
50;"Brodogradnja";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.02.  TEHNIČKE ZNANOSTI / Brodogradnja";"sveučilišni prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka brodogradnje"
51;"Elektrotehnika i informacijska tehnologija ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni prvostupnik/ica inženjer/inženjerka elektrotehnike i informacijske tehnologije "
52;"Elektrotehnika i informacijska tehnologija";"Sveučilište u Zagrebu";"Javno";"Fakultet elektrotehnike i računarstva, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike i informacijske tehnologije"
52;"Elektrotehnika i informacijska tehnologija";"Sveučilište u Zagrebu";"Javno";"Fakultet elektrotehnike i računarstva, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehnike i informacijske tehnologije"
54;"Elektrotehničke i komunikacijske tehnologije u pomorstvu";"Sveučilište u Dubrovniku";"Javno";"Sveučilište u Dubrovniku";"DUBROVNIK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.03.  TEHNIČKE ZNANOSTI / Elektrotehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka elektrotehničkih i komunikacijskih tehnologija u pomorstvu"
55;"Geodezija i geoinformatika";"Sveučilište u Zagrebu";"Javno";"Geodetski fakultet, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.04.  TEHNIČKE ZNANOSTI / Geodezija";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka geodezije i geoinformatike"
57;"Građevinarstvo";"Sveučilište u Zagrebu";"Javno";"Građevinski fakultet, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka građevinarstva"
58;"Građevinarstvo";"Sveučilište u Splitu";"Javno";"Fakultet građevinarstva, arhitekture i geodezije, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka građevinarstva"
59;"Građevinarstvo; smjer: opći";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Građevinski i arhitektonski fakultet Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka građevinarstva"
60;"Građevinarstvo";"Sveučilište u Rijeci";"Javno";"Građevinski fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka građevinarstva"
61;"Grafička tehnologija; smjerovi: Tehničko tehnološki, Dizajn grafičkih proizvoda";"Sveučilište u Zagrebu";"Javno";"Grafički fakultet, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.06.  TEHNIČKE ZNANOSTI / Grafička tehnologija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka grafičke tehnologije"
62;"Likovna kultura";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Umjetnička akademija, Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) edukacije likovne kulture"
64;"Kemija";"Sveučilište u Splitu";"Javno";"Kemijsko-tehnološki fakultet, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"1.04.  PRIRODNE ZNANOSTI / Kemija";"sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kemije"
63;"Kemijska tehnologija; smjer: Kemijsko inženjerstvo, Zaštita okoliša";"Sveučilište u Splitu";"Javno";"Kemijsko-tehnološki fakultet, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.07.  TEHNIČKE ZNANOSTI / Kemijsko inženjerstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka kemijskog inženjerstva"
65;"Metalurgija";"Sveučilište u Zagrebu";"Javno";"Metalurški fakultet, Sisak";"SISAK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.08.  TEHNIČKE ZNANOSTI / Metalurgija";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka metalurgije"
66;"Računarstvo";"Sveučilište u Zagrebu";"Javno";"Fakultet elektrotehnike i računarstva, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.09.  TEHNIČKE ZNANOSTI / Računarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka računarstva"
67;"Računarstvo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek";"OSIJEK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.09.  TEHNIČKE ZNANOSTI / Računarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka računarstva"
68;"Primjenjeno / poslovno računarstvo";"Sveučilište u Dubrovniku";"Javno";"Sveučilište u Dubrovniku";"DUBROVNIK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.09.  TEHNIČKE ZNANOSTI / Računarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka računarstva"
69;"Računarstvo";"Sveučilište u Splitu";"Javno";"Fakultet elektrotehnike, strojarstva i brodogradnje, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.09.  TEHNIČKE ZNANOSTI / Računarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka računarstva"
70;"Naftno rudarstvo";"Sveučilište u Zagrebu";"Javno";"Rudarsko-geološko-naftni fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.10.  TEHNIČKE ZNANOSTI / Rudarstvo, nafta i geološko inženjerstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka naftnog rudarstva"
72;"Geološko inženjerstvo";"Sveučilište u Zagrebu";"Javno";"Rudarsko-geološko-naftni fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.10.  TEHNIČKE ZNANOSTI / Rudarstvo, nafta i geološko inženjerstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka geološkog inženjerstva"
73;"Rudarstvo";"Sveučilište u Zagrebu";"Javno";"Rudarsko-geološko-naftni fakultet, Zagreb ";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.10.  TEHNIČKE ZNANOSTI / Rudarstvo, nafta i geološko inženjerstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka rudarstva"
74;"Strojarstvo";"Sveučilište u Zagrebu";"Javno";"Fakultet strojarstva i brodogradnje, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3.5;210;"2.11.  TEHNIČKE ZNANOSTI / Strojarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva"
75;"Brodostrojarstvo";"Sveučilište u Dubrovniku";"Javno";"Sveučilište u Dubrovniku";"DUBROVNIK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka pomorskog prometa brodostrojarskog smjera"
77;"Brodostrojarstvo";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka brodostrojarstva"
78;"Strojarstvo";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.11.  TEHNIČKE ZNANOSTI / Strojarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva"
78;"Strojarstvo";"Sveučilište u Rijeci";"Javno";"Tehnički fakultet, Rijeka ";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.11.  TEHNIČKE ZNANOSTI / Strojarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva"
79;"Strojarstvo";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Javno";"Strojarski fakultet u Slavonskom Brodu";"SLAVONSKI BROD";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.11.  TEHNIČKE ZNANOSTI / Strojarstvo";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka strojarstva"
80;"Nautika";"Sveučilište u Dubrovniku";"Javno";"Sveučilište u Dubrovniku";"DUBROVNIK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka pomorskog prometa nautičkog smjera"
81;"Pomorske tehnologije jahta i marina";"Sveučilište u Dubrovniku";"Javno";"Sveučilište u Dubrovniku";"DUBROVNIK";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka pomorskih tehnologija jahta i marina"
82;"Kompozicija";"Sveučilište u Splitu";"Javno";"Umjetnička akademija, Split ";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";4;240;"7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost";"sveučilišni/a prvostupnik/prvostupnica (bacccalaureus/baccalaurea) muzike"
83;"Pomorska nautika";"Sveučilište u Splitu";"Javno";"Pomorski fakultet, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka nautike"
84;"Promet; smjerovi: Cestovni, Željeznički, Vodni, Zračni, Poštanski, Informacijsko-komunikacijski, Gradski";"Sveučilište u Zagrebu";"Javno";"Fakultet prometnih znanosti, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka prometa"
85;"Inteligentni transportni sustavi i logistika; smjeovi: Inteligentni transportni sustavi, Logistika";"Sveučilište u Zagrebu";"Javno";"Fakultet prometnih znanosti, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka prometa"
86;"Aeronautika";"Sveučilište u Zagrebu";"Javno";"Fakultet prometnih znanosti, Zagreb";"ZAGREB";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.14.  TEHNIČKE ZNANOSTI / Zrakoplovstvo, raketna i svemirska tehnika";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka aeronautike"
87;"Nautika i tehnologija pomorskog prometa";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka nautike i tehnologije pomorskog prometa"
88;"Pomorske tehnologije jahta i marina";"Sveučilište u Splitu";"Javno";"Pomorski fakultet, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka pomorskih tehnologija jahta i marina"
91;"Logistika i menadžment u pomorstvu i prometu";"Sveučilište u Rijeci";"Javno";"Pomorski fakultet, Rijeka";"RIJEKA";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka logistike i menadžmenta u pomorstvu"
92;"Pomorski menadžment";"Sveučilište u Splitu";"Javno";"Pomorski fakultet, Split";"SPLIT";"sveučilišni";"preddiplomski sveučilišni studij";3;180;"2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport";"sveučilišni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka pomorskog menadžmenta"
