Lokacija;Broj mikrolokacija;Godina;;
Trg Nikole Zrinskog;3;2014;45.80966427408694;15.978981915344206 
Sesvete - Sopnica - Jelkovec;1;2014;45.81210592128212;16.102515801049776  
Sesvete - Sopnica - Jelkovec;2;2014;45.81215079013273 ;16.101271256066866
Andrije Hebranga - Petrinjska;1;2015;45.8090223;15.974888396295227 
Andrije Hebranga - Petrinjska;2;2015;45.80935801340997;15.97802364180302
Andrije Hebranga - Petrinjska;3;2015;45.80949262649457;15.980062120654338
Baruna Trenka;1;2015;45.80770614746297;15.977973028063957   
Trg bana Josipa Jelaèiæa - 2;1;2015;45.813226479016144;15.976400558721934 
Trg bana Josipa Jelaèiæa - 2;2;2015;45.81340595059065; 15.976336185705577  
Branimirova - Palmotiæeva - Draškoviæeva;1;2015;45.805363327752126;15.982293363229473
Branimirova - Palmotiæeva - Draškoviæeva;2;2015;45.80523618375588;15.984042163507183
Europski trg - Palmotiæeva;1;2015;45.81235427634597;15.981565315344255
Europski trg - Palmotiæeva;2;2015;45.813289032430596;15.979752142050188
Maksimirska - 1;1;2015;45.81528420000002 ;15.997534819049065
Maksimirska - 1;2;2015;45.816308637945305;16.00288850824279
Maksimirska - 2;1;2015;45.81739984206207;16.007282173016392 
Maksimirska - 2;2;2015;45.818480320781376;16.01260367570194 
Savska cesta - Ulica grada Vukovara;1;2015;45.79963390694161;15.962934357147332
Savska cesta - Ulica grada Vukovara;2;2015;45.79917015621877;15.961614710312005 
Trg Luke Botiæa - AK;1;2015;45.80342175897626;15.993813376721163
Trg Luke Botiæa - AK;2;2015;45.803698492786;15.994231801327487
Trg Stjepana Radiæa - Hrvatske bratske zajednice;1;2015;45.800501119638064;15.9793115695893
Trg Stjepana Radiæa - Hrvatske bratske zajednice;2;2015;45.79981298272901 ;15.978453262704533 
Prilaz Gjure Deželiæa;1;2015;45.81069367625897;15.960804682803313 
Prilaz Gjure Deželiæa;2;2015;45.81063011038025;15.96391068084256
Prilaz Gjure Deželiæa;3;2015;45.81024123518997;15.966592889857452
Frankopanska ul. - Varšavska ul.;1;2016;45.8116323993769;15.969404093921100
Savska cesta - Vodnikova;1;2016;45.8052077804981;15.96613347530360
Ul. Izidora Kršnjavog - Ul. A. Kaèiæa Mioèiæa;1;2016;45.8077580853129;15.963687300682000
Ul. Izidora Kršnjavog - Savska cesta;1;2016;45.80733927493960;15.967560410499500
Kaptol ul. 17;1;2016;45.81844229387690;15.977941900491700
Trg žrtava fašizma 15;1;2016;45.80987078606120;15.98639890551560
Ul. kneza Mislava 2;1;2016;45.808016100850200;15.984428822994200
Ul. Pavla Hatza - Palmotiæeva ul.;1;2016;45.80766260688620;15.981939733028400
Ul. Grada Vukovara - Kruge;1;2016;45.80046584771110;15.985134243965100
Ul. Grada Vukovara - Strojarska cesta;1;2016;45.800869750455200;15.989307761192300
Ul. Jurja Žerjaviæa - Gunduliæeva ul.;1;2016;45.80740658396200;15.972248911857600
Ul. Baruna Trenka - Gajeva ul.;1;2016;45.80752998362500;15.976328551769200
Savska cesta 76 - Gagarinov put;1;2016;45.796950274254600;15.960527658462500
Savska cesta - Zagrebaèka av. SZ;1;2016;45.794406955189300;15.958829820156000
Savska cesta - Zagrebaèka av. JI;1;2016;45.793988044444900;15.958695709705300
Trg kralja Tomislava 15;1;2016;45.80634458768310;15.978098809719000
Lastovska ul. - Ul. Zinke Kunc;1;2016;45.79256255350770;16.000543534755700
Ul. Grada Vukovara - Av. Marina držiæa SI;1;2016;45.801176415398000;15.995669960975600
