Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
ZMS INFO D.O.O.,ZAGREB,6201,Računalno programiranje,16,3.819.575,4.768.552,13.719.130
EMOVIS TEHNOLOGIJE D.O.O.,SPLIT,6201,Računalno programiranje,45,3.690.198,10.129.414,25.331.421
AXILIS D.O.O.,BREGANA,6201,Računalno programiranje,17,3.567.107,4.253.006,9.260.352
SOFA IT D.O.O.,"JASTREBARSKO, KLINČA SELA",6201,Računalno programiranje,18,3.522.598,3.894.357,9.092.726
KROBEL PROMET D.O.O.,ĐURMANEC,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,18,3.508.382,13.325.617,23.422.855
ECX.IO CROATIA D.O.O.,VARAŽDIN,6201,Računalno programiranje,23,3.430.707,5.697.406,19.013.009
GDI TECHNOLOGY PLATFORMS D.O.O.,ZAGREB,6201,Računalno programiranje,3,3.350.725,16.340.583,20.389.397
ECCOS-INŽENJERING D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,101,3.286.959,11.387.967,79.210.034
AMPHINICY D.O.O.,ZAGREB,6201,Računalno programiranje,37,3.213.715,10.627.007,15.604.415
TOMSOFT D.O.O.,ZAGREB,6201,Računalno programiranje,25,3.210.115,10.316.948,10.897.141
NEOS D.O.O.,ZAGREB,6201,Računalno programiranje,47,3.055.491,626.556,40.961.739
NEOS D.O.O.,ZAGREB,6201,Računalno programiranje,47,3.055.491,5.423.089,40.961.739
IT SISTEMI- NOVE TEHNOLOGIJE D.O.O.,SPLIT,6202,Savjetovanje u vezi s računalima,43,3.013.520,7.239.659,19.561.096
ALFA NET D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,14,3.009.219,24.773.701,21.229.839
KOD SAVJETOVANJE D.O.O.,VUKOVAR,6202,Savjetovanje u vezi s računalima,21,2.996.444,3.016.445,11.693.784
IN2 D.O.O.,ZAGREB,6201,Računalno programiranje,361,2.966.775,23.557.287,165.613.788
GLOBALDIZAJN D.O.O.,ZAGREB,6201,Računalno programiranje,27,2.940.077,5.389.013,9.833.479
LIBUSOFT CICOM D.O.O.,ZAGREB,6201,Računalno programiranje,112,2.923.982,4.398.450,31.686.580
INFOART D.O.O.,ZAGREB,6201,Računalno programiranje,38,2.911.667,5.712.508,13.677.732
BULB D.O.O.,ZAGREB,6201,Računalno programiranje,45,2.896.316,20.546.925,18.134.963
INTRALOT ADRIATIC D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,2.888.861,3.804.460,14.055.105
RAO D.O.O.,ZAGREB,6201,Računalno programiranje,18,2.848.173,3.848.173,9.225.837
INTEGRACIJA OD DO D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,37,2.827.444,12.005.945,19.555.976
TRIKODER D.O.O.,ZAGREB,6201,Računalno programiranje,49,2.805.228,7.893.289,20.875.472
PLAVI TIM D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,118,2.750.405,2.850.405,69.071.846
EKOBIT D.O.O.,ZAGREB,6201,Računalno programiranje,32,2.736.009,3.408.008,18.063.909
FORTIS PROJEKT D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,9,2.710.079,5.758.238,21.042.620
RO.BA.GO. D.O.O.,ZAGREB,6201,Računalno programiranje,6,2.663.455,6.551.121,7.226.211
PRINTEC CROATIA D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,71,2.639.171,27.420.459,73.976.767
ETRANET GRUPA D.O.O.,ZAGREB,6201,Računalno programiranje,36,2.620.701,5.620.701,24.557.383
