Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
KONPLAST D.O.O.,NEDELIŠĆE,6201,Računalno programiranje,18,889.028,2.509.544,4.661.277
ITI COMPUTERS DEVELOPMENT D.O.O.,DUBROVNIK,6201,Računalno programiranje,18,886.808,2.104.667,9.220.711
SOFISTIKA D.O.O.,RIJEKA,6201,Računalno programiranje,10,884.279,1.255.714,3.575.586
MAVEN MULE D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,2,871.134,1.176.466,1.852.904
GASTROBIT-GRC GRUPA D.O.O.,DUGO SELO,6201,Računalno programiranje,33,871.13,1.171.206,10.908.278
ZAJEDNIČKI INFORMACIJSKI SUSTAVI D.O.O.,ZAGREB,6201,Računalno programiranje,6,870.381,916.508,7.057.407
ŠPICA SUSTAVI D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,26,861.485,5.724.188,38.549.774
KANBAN D.O.O.,ZAGREB,6201,Računalno programiranje,6,857.672,932.696,2.874.980
MULTISOFT D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,14,857.43,6.514.842,7.870.248
TRITONEL MULTIMEDIA D.O.O.,BESTOVJE,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,853.538,900.662,3.880.021
3 PRO D.O.O.,ZAGREB,6201,Računalno programiranje,10,851.212,871.211,8.261.649
234 D.O.O.,ZAGREB,6201,Računalno programiranje,4,850.76,1.005.577,4.036.243
POLITEC AUTOMATIKA D.O.O.,RIJEKA,6201,Računalno programiranje,6,849.185,869.187,2.931.954
QUALIA POSLOVNA RJEŠENJA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,7,844.078,864.078,2.220.708
LAUS CC D.O.O.,DUBROVNIK,6201,Računalno programiranje,53,843.69,13.012.265,13.944.177
INFONET D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",1,842.174,1.827.125,2.676.242
SAD IT D.O.O.,ZAGREB,6201,Računalno programiranje,5,840.224,860.224,4.051.108
SWING INFORMATIKA D.O.O.,SPLIT,6201,Računalno programiranje,8,838.266,1.075.482,2.919.848
AKTIVA INFO D.O.O.,SAMOBOR,6201,Računalno programiranje,5,833.515,2.082.398,2.119.566
UTILIS D.O.O.,ZAGREB,6201,Računalno programiranje,9,830.768,1.275.602,2.503.625
SYNTIO D.O.O.,SREDNJACI,6201,Računalno programiranje,3,827.698,848.698,2.066.083
PEAK IT D.O.O.,ZAGREB,6201,Računalno programiranje,2,820.469,840.47,1.249.604
SKYNET TELEKOMUNIKACIJE D.O.O.,ZAGREB,6190,Ostale telekomunikacijske djelatnosti,1,818.469,993.889,7.825.664
APPLICON D.O.O.,SAMOBOR,6201,Računalno programiranje,8,818.436,1.567.833,8.162.811
SIOL D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,0,814.106,5.416.059,5.147.224
COMTECH D.O.O.,ZAGREB,6201,Računalno programiranje,1,813.43,833.43,1.404.024
QUIMERA D.O.O.,ZAGREB,6201,Računalno programiranje,2,810.833,900.833,1.285.247
CISCO SYSTEMS HRVATSKA D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,13,810.06,29.716.162,23.388.382
DOVIKIVATI D.O.O,ZAGREB,6201,Računalno programiranje,15,807.815,13.950.910,6.236.129
NEOINFO,ZAGREB,6201,Računalno programiranje,15,807.496,1.309.951,3.947.731
INFOKOM D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",14,807.342,827.342,4.132.031
INTER BASIS D.O.O.,ZAGREB,6201,Računalno programiranje,4,801.789,821.788,1.262.973
BYTEPANDA D.O.O.,ZAGREB,6201,Računalno programiranje,3,801.324,822.324,1.328.666
VEGASOFT D.O.O.,IKA,6201,Računalno programiranje,8,799.779,819.779,3.399.030
GIT D.O.O.,VARAŽDIN,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,13,795.77,1.916.474,8.244.677
SILICON MASTER D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,6,789.902,5.775.244,6.355.996
SONO IT D.O.O.,ZAGREB,6201,Računalno programiranje,10,781.398,2.501.217,3.674.724
VAL.OL. D.O.O.,TORDINCI,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,1,777.737,1.869.640,2.386.409
RI-BIT D.O.O.,RIJEKA,6201,Računalno programiranje,5,773.213,1.154.705,2.095.259
PINKDROIDS D.O.O.,ZAGREB,6201,Računalno programiranje,7,770.544,790.544,2.657.844
INSKY SOLUTIONS D.O.O.,ZAGREB,6201,Računalno programiranje,8,762.052,782.483,2.068.817
OPTIMUS LAB D.O.O.,ČAKOVEC,6201,Računalno programiranje,9,758.144,4.045.718,4.617.195
BITWERK D.O.O.,ZAGREB,6201,Računalno programiranje,2,758.067,1.390.325,1.448.839
OMNI ASPECT D.O.O.,KUTINA,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,16,753.065,1.812.265,4.507.579
AUDATEX SOUTHEAST EUROPE - PODRUŽNICA ZAGREB,ZAGREB,6202,Savjetovanje u vezi s računalima,0,751.409,751.409,1.454.805
INFOART GRUPA D.O.O.,ZAGREB,6201,Računalno programiranje,8,751.386,774.586,3.273.405
PLAVA TVORNICA D.O.O.,VIROVITICA,6201,Računalno programiranje,21,749.21,1.515.599,3.830.893
DEVLAB D.O.O.,KARLOVAC,6201,Računalno programiranje,4,743.222,764.628,1.765.515
QUALITY IN QUALITY OUT D.O.O.,PULA,6201,Računalno programiranje,10,737.132,1.966.295,5.436.780
CONTINUUM D.O.O.,ZAGREB,6201,Računalno programiranje,22,737.024,921.693,9.441.644
BVFON D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,1,735.308,755.308,3.440.530
NTH MOBILE D.O.O.,VARAŽDIN,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,100,730.095,2.543.181,39.930.067
BETA TAU BETA D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,15,723.293,623.21,6.243.971
ITI COMPUTERS SERVICES D.O.O.,DUBROVNIK,6201,Računalno programiranje,8,711.305,732.305,1.200.005
MONOBIT SOLUTIONS D.O.O.,ZAGREB,6201,Računalno programiranje,2,705,725,1.185.585
DIVERSITAS IT SUSTAVI D.O.O.,ZAGREB,6201,Računalno programiranje,6,699.497,1.320.825,2.998.172
ADVANCE IT D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,12,698.276,1.350.721,2.415.050
INFOSYS LIMITED PODRUŽNICA KARLOVAC ZA INFORMACIJSKE TEHNOLOGIJE,KARLOVAC,6203,Upravljanje računalnom opremom i sustavom,91,697.486,697.486,19.591.089
TELUM D.O.O.,ZADAR,6201,Računalno programiranje,6,690.454,1.704.146,5.895.570
ASTRAMEDIKA D.O.O.,ZAGREB,6201,Računalno programiranje,3,689.302,1.702.744,1.564.799
BIT ART CONSULTING D.O.O.,SPLIT,6201,Računalno programiranje,7,680.402,713.451,2.803.599
IN-CON,ZAGREB,6201,Računalno programiranje,12,677.986,2.853.756,4.823.357
AVALON D.O.O.,ĐURĐEVAC,6203,Upravljanje računalnom opremom i sustavom,14,677.648,983.608,6.292.110
DIL-93 D.O.O. ZA INFORMATIČKI INŽENJERING,ZAGREB,6201,Računalno programiranje,6,675.508,895.716,1.663.931
TEH PROJEKT OPREMA D.O.O.,RIJEKA,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",5,669.598,910.103,1.885.631
BSS POSLOVNI SUSTAV D.O.O.,ZAGREB,6201,Računalno programiranje,5,667.591,1.250.367,2.158.711
DHH D.O.O.,PULA,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,23,662.863,2.744.171,11.840.850
INBET2 D.O.O.,ZAGREB,6201,Računalno programiranje,14,660.08,680.08,2.966.565
PERZEJ D.O.O.,ZAGREB,6201,Računalno programiranje,8,655.51,685.201,2.530.979
ENSO D.O.O.,GAREŠNICA,6201,Računalno programiranje,8,652.914,2.238.244,2.806.593
F.L.-SISTEM D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,11,650.996,1.421.450,5.677.354
SOFTLAB D.O.O.,VARAŽDIN,6201,Računalno programiranje,2,647.729,667.73,1.706.860
CONMAR D.O.O.,SPLIT,6201,Računalno programiranje,9,642.082,800.101,3.395.854
TECHED SAVJETODAVNE USLUGE D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,31,639.778,2.984.575,17.943.246
RI-ING NET D.O.O.,RIJEKA,6201,Računalno programiranje,7,631.196,1.632.897,3.560.756
RB TEHNIKA D.O.O.,ČAKOVEC,6201,Računalno programiranje,14,631.031,1.647.091,3.314.006
LOGNET D.O.O.,ZAGREB,6201,Računalno programiranje,5,630.968,2.401.401,2.078.716
INVESTI D.O.O.,ZAGREB,6201,Računalno programiranje,2,626.011,1.038.047,1.430.684
KROKODIL ITS D.O.O.,ZAGREB,6201,Računalno programiranje,6,621.436,956.477,1.452.949
INFODESIGN D.O.O.,VARAŽDIN,6201,Računalno programiranje,17,616.987,3.834.217,10.226.482
STRATUS INFORMACIJSKE TEHNOLOGIJE D.O.O,ZAGREB,6201,Računalno programiranje,11,613.954,1.246.780,2.972.111
DVA TJEDNA D.O.O.,ZAGREB,6201,Računalno programiranje,1,613.549,2.112.636,1.204.798
I.P.T. D.O.O.,ZAGREB,6201,Računalno programiranje,10,609.572,747.466,14.654.704
MARSHALLING D.O.O.,LUDBREG,6201,Računalno programiranje,0,606.932,636.119,1.643.477
MER SYSTEMS D.O.O.,SPLIT,6201,Računalno programiranje,4,606.385,2.118.061,1.916.083
HOLOBIT D.O.O.,DUBROVNIK,6201,Računalno programiranje,8,604.554,850.364,3.180.697
MANGONEL D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,8,601.864,2.497.405,2.988.339
ADURO IDEJA D.O.O.,ZAGREB,6201,Računalno programiranje,18,600.738,1.053.820,4.393.645
MERITUM SOFT D.O.O.,VARAŽDIN,6201,Računalno programiranje,9,599.935,1.529.296,2.282.243
TETRA NAVIS D.O.O.,ZAGREB,6201,Računalno programiranje,2,596.587,1.645.565,3.984.937
INTERCORONA D.O.O.,ZAGREB,6201,Računalno programiranje,18,586.696,2.044.702,4.855.897
TREBAM D.O.O.,SINJ,6202,Savjetovanje u vezi s računalima,5,577.476,757.465,2.527.240
MREŽE I KOMUNIKACIJE D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,12,577.209,3.044.027,2.985.832
ARTKOD D.O.O.,ZAGREB,6201,Računalno programiranje,3,563.965,582.206,1.264.703
CADCAM DESIGN CENTAR D.O.O.,ZAGREB,6201,Računalno programiranje,19,560.816,2.741.243,21.673.059
POS D.O.O.,SPLIT,6201,Računalno programiranje,9,558.312,790.414,2.829.331
NIT-NET D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,9,558.01,1.027.845,2.268.326
SMART NET D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,8,555.849,1.181.282,12.325.987
SMART VIEW D.O.O.,ZAGREB,6201,Računalno programiranje,1,555.157,2.421.421,1.330.113
TVORNICA IDEJA D.O.O.,ZAGREB,6201,Računalno programiranje,3,550.736,571.736,1.646.061
M3T PROJEKT D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,2,547.71,1.158.535,1.661.566
VISAGE TECHNOLOGIES D.O.O.,ZAGREB,6201,Računalno programiranje,30,546.534,574.193,9.858.864
AKTON D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,6,546.462,1.480.100,14.618.403
FERIA PROJEKT D.O.O.,SPLIT,6201,Računalno programiranje,5,545.142,569.142,3.546.692
KRAKEN D.O.O.,ČAKOVEC,6201,Računalno programiranje,12,544.161,1.003.901,2.481.487
VIRTUALIS VIRTUALNI SUSTAVI D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,1,543.246,678.004,1.191.539
HOLOSYS D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,16,537.617,3.600.999,5.929.882
INTERACTIVE 1 D.O.O.,ZAGREB,6201,Računalno programiranje,10,533.465,861.732,3.198.410
MCS D.O.O.,STRAHONINEC,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",16,530.26,3.203.655,3.325.067
GALO INDUSTRIES J.D.O.O.,ZADAR,6202,Savjetovanje u vezi s računalima,0,522.686,559.072,2.630.481
TRILIX D.O.O.,ZAGREB,6201,Računalno programiranje,21,522.586,4.800.543,9.120.279
OSINIUM D.O.O.,MOKOŠICA,6201,Računalno programiranje,2,518.926,2.445.207,1.216.377
BARRAGE D.O.O.,OSIJEK,6201,Računalno programiranje,28,517.024,540.176,6.236.446
STATIM D.O.O.,SPLIT,6201,Računalno programiranje,136,515.919,4.383.234,20.288.587
UNIQCAST D.O.O. ZA USLUGE,ZAGREB,6201,Računalno programiranje,10,512.985,961.464,6.599.025
MAŠINERIJA D.O.O.,PRIGORJE BRDOVEČKO,6201,Računalno programiranje,7,511.579,1.585.134,2.118.850
MUNICIPAL D.O.O.,ĐAKOVO,6201,Računalno programiranje,8,507.356,883.669,1.740.640
EMPORIA D.O.O.,ZADAR,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,5,506.661,2.885.899,1.757.330
POMIČNI ZAREZ D.O.O.,ZAGREB,6201,Računalno programiranje,8,505.691,526.691,1.726.307
ADRIA NET D.O.O.,VODICE,6201,Računalno programiranje,5,505.557,774.252,1.743.584
AERIS IT D.O.O. ZA INFORMATIČKE USLUGE,OSIJEK,6201,Računalno programiranje,2,505.315,992.143,1.916.073
PROTIS D.O.O.,SISAK,6201,Računalno programiranje,11,504.187,2.024.765,31.112.691
ZAGREB DATA D.O.O.,ZAGREB,6201,Računalno programiranje,19,503.07,1.573.545,7.120.281
INFRANET RAZVOJ D.O.O.,ZAGREB,6201,Računalno programiranje,6,502.922,1.080.598,1.920.980
M.A.I. TRADE D.O.O.,RIJEKA,6203,Upravljanje računalnom opremom i sustavom,21,497.689,1.110.273,15.472.476
PSEUDOCODE D.O.O.,SPLIT,6201,Računalno programiranje,3,495.736,710.024,1.782.975
REALNETWORKS D.O.O.,ZAGREB,6201,Računalno programiranje,16,495.625,5.132.582,9.415.163
DEDAL KOMUNIKACIJE D.O.O.,ZAGREB,6201,Računalno programiranje,12,494.042,2.191.072,3.885.569
ENEL SPLIT D.O.O.,SPLIT,6201,Računalno programiranje,27,491.956,4.510.722,9.326.241
FUTURA INFORMATIČKA TEHNOLOGIJA D.O.O.,PRIGORJE BRDOVEČKO,6202,Savjetovanje u vezi s računalima,3,491.179,1.209.272,13.826.689
TEHNO NEBULA D.O.O.,ZVECAJ,6201,Računalno programiranje,1,491.051,511.051,1.501.692
EXCEL COMPUTERS D.O.O.,OSIJEK,6201,Računalno programiranje,10,487.506,1.676.116,2.838.817
PINE STUDIO D.O.O.,SAMOBOR,6201,Računalno programiranje,6,485.568,512.368,1.231.663
AVAYA D.O.O.,ZAGREB,6201,Računalno programiranje,8,481.616,12.112.311,26.691.194
Q ALIJANSA D.O.O.,ZAGREB,6201,Računalno programiranje,14,479.334,655.734,15.334.437
XIPHIAS D.O.O.,VARAŽDIN,6201,Računalno programiranje,10,478.757,498.757,2.985.548
CRIONIS D.O.O.,DONJI MIHOLJAC,6201,Računalno programiranje,15,478.134,660.084,2.538.365
ININ INFORMATIČKI INŽENJERNIG D.O.O.,SLAVONSKI BROD,6201,Računalno programiranje,15,477.516,3.409.339,3.841.391
INTERSOFT D.O.O.,ČAKOVEC,6201,Računalno programiranje,8,476.279,1.599.335,2.584.763
INTERNET PROTOKOL KOMUNIKACIJE D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,2,466.401,1.232.118,3.523.083
ED BOREL D.O.O.,ZAGREB,6201,Računalno programiranje,7,463.72,586.379,2.514.911
PROTOTYP D.O.O.,OSIJEK,6201,Računalno programiranje,5,461.883,481.883,1.722.106
SPORT DATA SERVICE D.O.O.,SLAVONSKI BROD,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",20,460.729,869.743,3.850.682
INFONOMICA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,6,459.987,949.699,2.138.622
AVNET D.O.O.,RIJEKA,6202,Savjetovanje u vezi s računalima,15,459.012,522.419,5.172.034
UHP DIGITAL D.O.O,TENJA,6201,Računalno programiranje,12,458.981,525.962,2.726.480
SYNNEFO SUSTAVI D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,3,457.416,757.143,3.146.696
SL SOLUCIJE D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,11,450.477,1.288.021,17.485.011
POINTER D.O.O.,ZAGREB,6201,Računalno programiranje,6,447.906,970.001,10.053.436
MARATELA MREŽE D.O.O.,LONJICA,6110,Djelatnosti žičane telekomunikacije,1,447.845,467.845,13.566.892
TOUCH NETWORKS EUROPE D.O.O.,RIJEKA,6202,Savjetovanje u vezi s računalima,8,447.754,506.193,4.632.958
4APP SOLUTION D.O.O.,ZAGREB,6201,Računalno programiranje,4,447.488,821.608,1.720.555
ADRIA NORMA D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",3,441.7,698.539,2.950.013
FORTIUS INFO D.O.O.,VOLTINO,6201,Računalno programiranje,9,441.268,461.268,2.735.699
EURO-TERA D.O.O.,ZAGREB,6201,Računalno programiranje,6,437.064,2.472.244,2.273.434
LOOP J.D.O.O.,KAŠTEL LUKŠIĆ,6201,Računalno programiranje,6,427.557,879.032,1.765.426
E. STUDIO D.O.O.,PULA,6202,Savjetovanje u vezi s računalima,15,424.987,1.323.662,2.933.392
BLAZING EDGE D.O.O.,SPLIT,6201,Računalno programiranje,9,423.701,472.912,2.462.142
MOMENTUM D.O.O.,POREČ,6202,Savjetovanje u vezi s računalima,0,423.128,478.965,1.283.979
MICRONIC,SPLIT,6201,Računalno programiranje,14,421.679,5.106.628,4.263.397
HANDS ON SERVER SUPPORT D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",68,421.631,518.239,10.984.593
KABEL KANAL D.O.O.,KASTAV,6110,Djelatnosti žičane telekomunikacije,6,418.883,493.204,2.449.658
EMC COMPUTER SYSTEMS AUSTRIA GMBH-PODRUŽNICA ZAGREB,ZAGREB,6202,Savjetovanje u vezi s računalima,6,418.644,1.457.168,11.953.991
P.B. POSLOVNI MEDIJI D.O.O.,SPLIT,6201,Računalno programiranje,3,418.588,438.588,4.495.626
MARKER D.O.O.,VARAŽDIN,6201,Računalno programiranje,13,418.418,575.997,3.471.126
ACQUISITUM MAGNUM D.O.O.,ZAGREB,6201,Računalno programiranje,12,418.385,3.439.038,45.658.219
SUNA D.O.O.,ZAGREB,6201,Računalno programiranje,2,416.933,491.891,1.467.001
ERIS D.O.O.,VIŠKOVO,6201,Računalno programiranje,5,416.415,420.66,3.865.109
PHOTOMATH D.O.O.,ZAGREB,6201,Računalno programiranje,16,415.526,556.31,6.097.800
Q CODE IT D.O.O,ZAGREB,6201,Računalno programiranje,4,413.349,1.447.791,1.493.868
ENVOX LAB D.O.O.,ZAGREB,6201,Računalno programiranje,24,410.28,2.081.231,11.672.222
LINIJA KODA D.O.O.,ZAGREB,6201,Računalno programiranje,3,408.585,578.702,1.345.244
COMPLIANT RISK TECHNOLOGY D.O.O.,ZAGREB,6201,Računalno programiranje,2,397.9,1.727.900,1.654.339
WEB STUDIO D.O.O.,RIJEKA,6201,Računalno programiranje,10,396.215,830.904,2.449.051
ADRIA SCAN D.O.O.,"KERESTINEC, SVETA NEDELJA",6201,Računalno programiranje,21,395.201,1.471.859,8.246.506
AGILNA TVRTKA D.O.O.,SPLIT,6201,Računalno programiranje,7,393.795,937.826,2.086.901
INTEGRATOR D.O.O.,DUBROVNIK,6201,Računalno programiranje,8,387.231,599.301,2.297.076
ISTRA TECH D.O.O.,PULA,6201,Računalno programiranje,22,386.108,4.280.022,8.616.431
BALDINISTUDIO D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,385.812,600.95,4.156.230
VACUUM D.O.O.,ZAGREB,6201,Računalno programiranje,4,385.657,700.003,1.527.187
NOVATEC D.O.O.,LABIN,6201,Računalno programiranje,29,384.784,958.485,8.652.374
DARGO POSLOVNA RJEŠENJA D.O.O.,ZAGREB,6201,Računalno programiranje,2,383.439,579.692,2.245.620
SOCIUS D.O.O.,SPLIT,6202,Savjetovanje u vezi s računalima,9,381.067,1.502.317,2.694.660
CRATIS D.O.O.,VARAŽDINSKE TOPLICE,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",9,378.834,579.974,3.874.158
KLISING D.O.O.,ZAGREB,6201,Računalno programiranje,11,376.628,2.018.108,2.787.978
OPTIMIT D.O.O.,ZAGREB,6201,Računalno programiranje,16,367.388,2.091.547,5.752.355
S.D. INFORMATIKA D.O.O.,VELIKA GORICA,6201,Računalno programiranje,11,366.671,2.298.210,7.306.416
PRIM D.O.O.,KARLOVAC,6202,Savjetovanje u vezi s računalima,10,364.848,1.060.254,1.653.512
HEP TELEKOMUNIKACIJE D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,34,363.687,309.808.271,112.813.193
MAGIC NET D.O.O.,LUDBREG,6110,Djelatnosti žičane telekomunikacije,14,359.673,1.243.838,6.354.268
BIOINFO J.D.O.O.,ZAGREB,6201,Računalno programiranje,2,357.589,489.081,2.848.245
INOVATIVNI TRENDOVI D.O.O.,ZAGREB,6201,Računalno programiranje,5,355.305,1.071.761,1.782.294
INEO D.O.O.,ČAKOVEC,6201,Računalno programiranje,4,350.964,1.180.381,1.746.027
SEDMI ODJEL D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,23,350.473,2.906.553,11.876.569
ATOS IT SOLUTIONS AND SERVICES D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,93,346.134,5.330.752,125.044.745
ELIT - STRUCTO D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,13,345.24,561.594,9.969.328
SMARTIS D.O.O,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,4,344.904,853.372,6.819.836
EVOLUO D.O.O.,ZAGREB,6201,Računalno programiranje,6,344.557,436.74,1.349.256
STUDIO HS INTERNET D.O.O.,OSIJEK,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,5,341.903,1.173.306,2.569.563
ZERAXO D.O.O.,ZAGREB,6201,Računalno programiranje,8,341.464,610.625,4.779.828
WEB MARKETING D.O.O.,ZAGREB,6201,Računalno programiranje,10,339.422,1.411.155,2.720.691
LUCIANTE D.O.O.,SAMOBOR,6202,Savjetovanje u vezi s računalima,4,333.659,978.752,1.312.788
PROSPEKT D.O.O.,RIJEKA,6201,Računalno programiranje,8,330.065,554.495,1.870.838
TIS-GRUPA TELEMATIČKI INŽENJERING I SOFTWARE D.O.O.,ZAGREB,6201,Računalno programiranje,9,329.699,8.851.610,2.822.752
MCS GRUPA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,37,328.799,3.115.154,9.857.388
ESKA D.O.O.,ZAGREB,6201,Računalno programiranje,9,326.822,743.556,2.957.050
TRAF SIGNAL D.O.O.,ZAGREB,6201,Računalno programiranje,2,325.506,857.564,2.077.654
GEOGIS D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,3,324.605,1.205.050,1.449.285
PERFEKTA D.O.O.,DUBRAVA,6201,Računalno programiranje,5,317.62,479.858,1.809.150
NOMEN D.O.O.,RIJEKA,6201,Računalno programiranje,7,311.494,1.220.155,2.567.545
CROSSVALLIA D.O.O.,ZAGREB,6201,Računalno programiranje,42,309.633,1.227.014,15.961.333
ENTERWELL D.O.O.,ZAGREB,6201,Računalno programiranje,6,309.309,577.717,1.747.878
BLINK D.O.O.,ZAGREB,6201,Računalno programiranje,22,308.668,1.079.081,11.545.759
DS&S D.O.O.,PULA,6203,Upravljanje računalnom opremom i sustavom,4,308.166,593.847,1.403.557
CAMTEH D.O.O.,RIJEKA,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,0,303.327,604.908,1.250.304
JADRAN - INFORMATIKA D.O.O.,RIJEKA,6201,Računalno programiranje,18,302.235,4.084.333,6.947.809
BITNET D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,5,302.026,899.142,3.434.104
AGENOR AUTOMATIKA D.O.O.,POREČ,6201,Računalno programiranje,22,301.368,2.972.968,8.381.702
ZAŠTITNI KOD D.O.O.,KONJŠČINA,6201,Računalno programiranje,3,297.534,965.881,1.771.623
URBANI RITAM D.O.O.,ZAGREB,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",7,297.014,1.722.623,4.310.325
EL-KOM M.B.I. D.O.O.,RIJEKA,6190,Ostale telekomunikacijske djelatnosti,5,296.354,614.926,1.721.359
ILI NET D.O.O.,ZAGREB,6201,Računalno programiranje,6,296.041,913.903,4.811.345
TIS - OBJEKTNI INFORMACIJSKI SUSTAVI D.O.O.,ZAGREB,6201,Računalno programiranje,76,292.659,10.403.284,24.088.422
GENESIS D.O.O.,RIJEKA,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,5,292.603,689.125,9.090.634
PORTABILE D.O.O.,ŠIBENIK,6190,Ostale telekomunikacijske djelatnosti,10,291.347,877.54,5.267.445
ELEKTRONIKA PERHOČ D.O.O.,LUČKO,6201,Računalno programiranje,16,291.146,2.096.615,4.233.688
LOGIN SUSTAVI D.O.O.,RIJEKA,6202,Savjetovanje u vezi s računalima,4,287.576,1.217.406,2.354.753
KODELAB SOLUTIONS D.O.O.,ZAGREB,6201,Računalno programiranje,3,286.605,415.871,1.657.933
INPRO D.O.O.,ČAKOVEC,6201,Računalno programiranje,12,283.126,1.096.096,3.912.324
CONNECTA INFO D.O.O.,ZAGREB,6201,Računalno programiranje,3,280.998,543.504,2.380.414
BROADSTREAM SOLUTIONS D.O.O. ZA PROIZVODNJU SOFTVERA,ZAGREB,6201,Računalno programiranje,0,275.683,1.251.837,8.627.401
"VATEL D.O.O. ZA TELEKOMUNIKACIJE, ELEKTRONIKU I USLUGE",SPLIT,6110,Djelatnosti žičane telekomunikacije,10,274.658,1.134.742,7.986.248
KRK SISTEMI D.O.O.,RIJEKA,6120,Djelatnosti bežične telekomunikacije,2,274.568,753.94,1.383.910
ITCR D.O.O.,ZAGREB,6201,Računalno programiranje,3,272.103,1.025.954,5.088.308
INTENDA NET D.O.O.,ZAGREB,6201,Računalno programiranje,12,271.569,1.656.120,4.705.976
TRANSLATION EXPERTS HRVATSKA D.O.O.,ZAGREB,6201,Računalno programiranje,9,270.098,935.376,1.401.308
INTERBIT D.O.O.,LEPOGLAVA,6201,Računalno programiranje,1,268.665,3.522.842,1.189.805
AMODO D.O.O.,ZAGREB,6201,Računalno programiranje,10,263.937,3.769.486,6.083.094
FIVE BY FIVE D.O.O.,ZAGREB,6201,Računalno programiranje,4,263.739,659.454,2.503.068
REDKNEE ZAGREB D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,29,261.27,1.352.626,18.468.495
